SHOT_DIST,CLOSE_DEF_DIST,SHOT_CLOCK,PERIOD,is_home,is_3pt,is_paint,is_midrange,is_4q,is_ot,time_pressure,defender_pressure,open_shot,dist_x_defender,dist_x_time,pressure_x_3pt,shot_difficulty,made
20.0,1.9,15.8,3,1,0,0,1,0,1,0,1,0,38.0,316.0,0,2.1466244725738397,0
16.1,4.6,4.8,3,1,0,0,1,0,1,0,0,0,74.06,77.28,0,1.941078431372549,0
6.7,2.3,16.2,3,1,0,0,1,0,1,0,0,0,15.409999999999998,108.53999999999999,0,1.642204585537919,1
5.0,4.3,22.0,4,1,0,0,1,1,0,0,0,0,21.5,110.0,0,1.4204545454545454,1
11.4,3.2,6.5,4,1,0,0,1,1,0,0,0,0,36.480000000000004,74.10000000000001,0,1.804116424116424,0
34.4,3.6,,4,1,1,0,0,1,0,0,0,0,123.84,,0,,0
19.5,4.7,10.7,1,0,0,0,1,0,1,0,0,0,91.65,208.64999999999998,0,1.9357656362329259,1
22.9,6.8,5.0,1,0,0,0,1,0,1,0,0,1,155.72,114.5,0,2.1003196347031965,0
24.0,5.5,15.6,1,0,1,0,0,0,1,0,0,0,132.0,374.4,0,2.0307692307692307,1
19.5,4.0,10.4,1,0,0,0,1,0,1,0,0,0,78.0,202.8,0,1.9683760683760685,0
23.7,5.0,10.9,1,0,0,0,1,0,1,0,0,0,118.5,258.33,0,2.0635613010842366,0
14.8,3.4,7.4,3,0,0,0,1,0,1,0,0,0,50.32,109.52000000000001,0,1.8848787248787249,0
25.0,5.2,15.7,3,0,1,0,0,0,1,0,0,0,130.0,392.5,0,2.0724661973404848,0
22.2,5.8,9.7,3,0,0,0,1,0,1,0,0,0,128.76,215.33999999999997,0,2.0018229422353135,0
26.7,11.6,0.3,3,0,1,0,0,0,1,1,0,1,309.71999999999997,8.01,0,5.305977961432507,0
19.6,2.7,15.8,4,0,0,0,1,1,0,0,0,0,52.92000000000001,309.68000000000006,0,2.0291244725738395,0
25.3,5.6,11.7,4,0,1,0,0,1,0,0,0,0,141.68,296.01,0,2.092737845032927,0
12.8,4.0,5.4,2,0,0,0,1,0,1,0,0,0,51.2,69.12,0,1.834074074074074,0
28.0,5.3,20.2,4,0,1,0,0,1,0,0,0,0,148.4,565.6,0,2.155252076931831,0
24.9,5.8,16.0,1,1,1,0,0,0,1,0,0,0,144.42,398.4,0,2.0512301587301587,0
6.7,2.0,9.4,1,1,0,0,1,0,1,0,1,0,13.4,62.980000000000004,0,1.7297163120567376,0
24.4,8.7,14.5,1,1,1,0,0,0,1,0,0,1,212.27999999999997,353.79999999999995,0,1.9909945027486255,0
24.1,9.2,5.3,1,1,1,0,0,0,1,0,0,1,221.72,127.73,0,2.0951053621215068,0
25.0,10.6,12.1,2,1,1,0,0,0,1,0,0,1,265.0,302.5,0,2.006068051522597,0
26.2,4.8,17.3,2,1,1,0,0,0,1,0,0,0,125.75999999999999,453.26,0,2.119816046824445,0
21.8,4.4,14.5,3,1,0,0,1,0,1,0,0,0,95.92000000000002,316.1,0,1.999713816561107,1
20.4,4.6,9.9,3,1,0,0,1,0,1,0,0,0,93.83999999999999,201.95999999999998,0,1.97708853238265,0
24.7,3.5,4.7,3,1,1,0,0,0,1,0,0,0,86.45,116.09,0,2.286099290780142,1
13.1,2.5,,3,1,0,0,1,0,1,0,0,0,32.75,,0,,1
24.0,4.2,8.7,4,1,1,0,0,1,0,0,0,0,100.80000000000001,208.79999999999998,0,2.127708486182441,0
14.5,10.7,24.0,4,1,0,0,1,1,0,0,0,1,155.14999999999998,348.0,0,1.6142857142857143,1
21.7,4.8,3.0,4,1,0,0,1,1,0,1,0,0,104.16,65.1,0,2.2453459119496855,1
21.2,9.0,22.0,1,0,0,0,1,0,1,0,0,1,190.79999999999998,466.4,0,1.857384370015949,1
20.8,3.9,11.8,1,0,0,0,1,0,1,0,0,0,81.12,245.44000000000003,0,2.005351823317925,0
4.4,2.8,7.5,1,0,0,0,1,0,1,0,0,0,12.32,33.0,0,1.583030303030303,1
24.4,12.8,20.2,2,0,1,0,0,0,1,0,0,1,312.32,492.87999999999994,0,1.9380262537531947,1
26.5,4.4,20.2,2,0,1,0,0,0,1,0,0,0,116.60000000000001,535.3,0,2.1369199164814443,0
22.0,8.0,10.5,3,0,0,0,1,0,1,0,0,1,176.0,231.0,0,1.9462184873949582,0
3.4,1.8,12.3,3,0,0,1,0,0,1,0,1,0,6.12,41.82,0,1.6294167550371155,1
22.7,4.3,0.8,4,0,0,0,1,1,0,1,0,0,97.61,18.16,0,3.215,1
25.8,5.7,5.2,4,0,1,0,0,1,0,0,0,0,147.06,134.16,0,2.2135980148883374,0
8.0,3.7,14.7,4,0,0,0,1,1,0,0,0,0,29.6,117.6,0,1.5727891156462586,1
13.0,3.1,13.7,1,0,0,0,1,0,1,0,0,0,40.300000000000004,178.1,0,1.784103811841038,0
24.4,9.5,19.9,1,0,1,0,0,0,1,0,0,1,231.79999999999998,485.55999999999995,0,1.9635845896147401,0
24.8,5.7,7.2,1,0,1,0,0,0,1,0,0,0,141.36,178.56,0,2.1268458781362005,0
1.5,0.6,20.1,1,0,0,1,0,0,1,0,1,0,0.8999999999999999,30.150000000000002,0,2.0088421528720035,0
24.8,7.8,15.8,3,0,1,0,0,0,1,0,0,1,193.44,391.84000000000003,0,2.010439733618016,0
20.3,5.4,9.7,3,0,0,0,1,0,1,0,0,0,109.62,196.91,0,1.9492509755955503,0
19.6,4.6,16.7,3,0,0,0,1,0,1,0,0,0,90.16,327.32,0,1.9092920042268406,0
21.0,6.3,14.6,1,0,0,0,1,0,1,0,0,1,132.29999999999998,306.59999999999997,0,1.9155519742143432,0
24.5,3.8,17.6,1,0,1,0,0,0,1,0,0,0,93.1,431.20000000000005,0,2.106042988019732,0
18.0,5.9,10.3,1,0,0,0,1,0,1,0,0,0,106.2,185.4,0,1.8533373786407767,0
4.4,7.0,24.0,3,0,0,0,1,0,1,0,0,1,30.800000000000004,105.60000000000001,0,1.3216666666666668,0
25.7,3.5,9.1,3,0,1,0,0,0,1,0,0,0,89.95,233.86999999999998,0,2.216556776556777,1
7.9,2.0,15.1,3,0,0,0,1,0,1,0,1,0,15.8,119.29,0,1.7295584988962471,1
25.8,5.1,12.4,3,0,1,0,0,0,1,0,0,0,131.57999999999998,319.92,0,2.119216589861751,0
24.6,3.2,17.0,3,0,1,0,0,0,1,0,0,0,78.72000000000001,418.20000000000005,0,2.149093799682035,0
25.0,4.4,21.7,4,0,1,0,0,1,0,0,0,0,110.00000000000001,542.5,0,2.0834979152951503,0
22.7,3.2,7.1,4,0,0,0,1,1,0,0,0,0,72.64,161.17,0,2.167782007359472,1
23.9,11.0,12.0,4,0,1,0,0,1,0,0,0,1,262.9,286.79999999999995,0,1.9669565217391303,0
19.2,6.3,16.0,1,1,0,0,1,0,1,0,0,1,120.96,307.2,0,1.8495588235294118,0
21.0,4.1,16.7,1,1,0,0,1,0,1,0,0,0,86.1,350.7,0,1.9772715438687842,1
24.5,5.9,6.2,2,1,1,0,0,0,1,0,0,0,144.55,151.9,0,2.134206989247312,1
20.8,7.0,13.3,2,1,0,0,1,0,1,0,0,1,145.6,276.64000000000004,0,1.9018546365914788,0
